idx,city,country,iso3,capital,lat,lng,admin_name,population
6507,Simeulu,Indonesia,IDN,,2.63,96.09,Aceh,93762.0
6508,Ziftá,Egypt,EGY,,30.7142,31.2443,Al Gharbīyah,93740.0
6509,Cape Breton,Canada,CAN,,46.1389,-60.1931,Nova Scotia,93694.0
6510,Al Fujayrah,United Arab Emirates,ARE,admin,25.1222,56.3344,Al Fujayrah,93673.0
6511,Sanjō,Japan,JPN,,37.6368,138.9617,Niigata,93671.0
6512,Mikhaylovsk,Russia,RUS,,45.1333,42.0333,Stavropol’skiy Kray,93658.0
6513,Fall River,United States,USA,,41.7136,-71.1015,Massachusetts,93638.0
6514,Gera,Germany,DEU,minor,50.8806,12.0833,Thuringia,93634.0
6515,Jaén,Peru,PER,,-5.7083,-78.8083,Cajamarca,93631.0
6516,Mairiporã,Brazil,BRA,,-23.3189,-46.5869,São Paulo,93617.0
6517,Lawang,Indonesia,IDN,,-7.83,112.7,Jawa Timur,93563.0
6518,San Germán,Puerto Rico,PRI,,18.0827,-67.046,Puerto Rico,93549.0
6519,Hradec Králové,Czechia,CZE,admin,50.2092,15.8322,Královéhradecký Kraj,93506.0
6520,Daanbantayan,Philippines,PHL,,11.25,124.0,Cebu,93502.0
6521,Sarov,Russia,RUS,minor,54.9333,43.3167,Nizhegorodskaya Oblast’,93357.0
6522,Michurinsk,Russia,RUS,,52.8833,40.4833,Tambovskaya Oblast’,93330.0
6523,Monastir,Tunisia,TUN,admin,35.7694,10.8194,Monastir,93306.0
6524,Wangjia,China,CHN,,30.6218,120.7212,Zhejiang,93291.0
6525,Yashio,Japan,JPN,,35.8225,139.8392,Saitama,93283.0
6526,Jinbi,China,CHN,minor,25.7356,101.3239,Yunnan,93281.0
6527,Akşehir,Turkey,TUR,minor,38.3575,31.4164,Konya,93233.0
6528,Yotsukaidō,Japan,JPN,,35.6698,140.1679,Chiba,93233.0
6529,Düren,Germany,DEU,minor,50.8,6.4833,North Rhine-Westphalia,93207.0
